OTU_97.10029,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii
OTU_97.10619,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_putredinis
OTU_97.1096,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,[Eubacterium]_rectale
OTU_97.11641,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides_merdae
OTU_97.118,False,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium_faecium
OTU_97.121,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_thetaiotaomicron
OTU_97.12279,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis
OTU_97.12461,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,[Eubacterium]_rectale
OTU_97.12535,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus]_torques
OTU_97.13004,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis
OTU_97.13145,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis
OTU_97.13464,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,[Eubacterium]_rectale
OTU_97.13936,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides_merdae
OTU_97.14,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_vulgatus
OTU_97.1401,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,Gemmiger_formicilis
OTU_97.1413,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
OTU_97.14259,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
OTU_97.144,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_onderdonkii
OTU_97.14568,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_hominis
OTU_97.1486,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
OTU_97.15051,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_faecis
OTU_97.15190,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_onderdonkii
OTU_97.15271,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_putredinis
OTU_97.154,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes_shahii
OTU_97.15565,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides_distasonis
OTU_97.15603,False,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Unclassified
OTU_97.158,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium]_aminophilum
OTU_97.15869,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,[Eubacterium]_rectale
OTU_97.16034,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides_merdae
OTU_97.16265,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii
OTU_97.16539,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis
OTU_97.1656,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,[Eubacterium]_rectale
OTU_97.16585,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,[Eubacterium]_rectale
OTU_97.16633,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_intestinalis
OTU_97.1677,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
OTU_97.17128,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
OTU_97.175,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_intestinalis
OTU_97.1779,False,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
OTU_97.1789,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Unclassified
OTU_97.18074,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii
OTU_97.18082,False,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unclassified,Unclassified
